,imdb_id,budget,Metascore
376,tt2908856,5000000,52.0
377,tt1798243,5000000,52.0
378,tt1621046,10000000,51.0
379,tt2326574,12000000,25.0
380,tt3128900,2000000,43.0
381,tt2198241,4000000,23.0
382,tt2494384,8000000,34.0
383,tt2713642,1400000,12.0
384,tt2245171,16000000,56.0
385,tt3145220,1000000,45.0
386,tt0848228,220000000,69.0
387,tt1496025,70000000,39.0
388,tt1345836,250000000,78.0
389,tt1853728,100000000,81.0
390,tt1074638,200000000,81.0
391,tt1194173,130000000,61.0
392,tt0903624,250000000,58.0
393,tt1446714,130000000,64.0
394,tt1045658,21000000,81.0
395,tt0948470,215000000,66.0
396,tt1217209,185000000,69.0
397,tt1735898,170000000,57.0
398,tt1232829,42000000,69.0
399,tt0454876,120000000,79.0
400,tt1667889,95000000,49.0
401,tt1637725,50000000,62.0
402,tt0790724,60000000,50.0
403,tt1649419,42000000,73.0
404,tt1772341,165000000,72.0
405,tt1981677,17000000,66.0
406,tt1409024,225000000,58.0
407,tt1392170,75000000,68.0
408,tt1386703,125000000,43.0
409,tt1371111,102000000,55.0
410,tt1764651,100000000,51.0
411,tt1397280,45000000,45.0
412,tt1077368,150000000,55.0
413,tt1659337,13000000,67.0
414,tt1024648,44500000,86.0
415,tt1605630,50000000,49.0
416,tt1915581,7000000,72.0
417,tt1259521,30000000,72.0
418,tt1446192,145000000,58.0
419,tt1606389,30000000,43.0
420,tt1397514,79000000,41.0
421,tt1496422,12500000,45.0
422,tt1656190,30000000,55.0
423,tt1611224,69000000,42.0
424,tt1374992,60000000,45.0
425,tt1482459,70000000,46.0
426,tt1748122,16000000,84.0
427,tt1343727,50000000,60.0
428,tt1440129,209000000,41.0
429,tt1596350,65000000,31.0
430,tt1707386,61000000,63.0
431,tt1667353,85000000,46.0
432,tt0401729,260000000,51.0
433,tt1276104,30000000,84.0
434,tt1673434,120000000,52.0
435,tt1790885,40000000,95.0
436,tt1506999,23000000,67.0
437,tt1646987,150000000,37.0
438,tt1800741,33000000,43.0
439,tt1706593,15000000,69.0
440,tt1591479,12000000,40.0
441,tt0837562,85000000,47.0
442,tt1922777,3000000,53.0
443,tt1855199,7000000,68.0
444,tt0443272,65000000,86.0
445,tt1586265,40000000,41.0
446,tt1645170,65000000,58.0
447,tt1327194,25000000,39.0
448,tt1636826,12000000,48.0
449,tt1524137,25000000,51.0
450,tt1277953,145000000,60.0
451,tt1212450,26000000,58.0
452,tt1486192,26000000,44.0
453,tt1336608,75000000,47.0
454,tt1656186,35000000,43.0
455,tt1298649,68000000,36.0
456,tt1430626,60000000,73.0
457,tt1560747,32000000,86.0
458,tt1195478,30000000,62.0
459,tt1758830,35000000,59.0
460,tt1592525,20000000,48.0
461,tt1655460,35000000,53.0
462,tt1596365,17000000,62.0
463,tt1142977,39000000,74.0
464,tt1232200,70000000,31.0
465,tt1599348,85000000,52.0
466,tt1615065,45000000,59.0
467,tt1567609,35000000,60.0
468,tt0857190,3730500,48.0
469,tt1907668,31000000,76.0
470,tt1568338,42000000,40.0
471,tt1931533,15000000,66.0
472,tt1430615,40000000,61.0
473,tt1440732,9000000,42.0
474,tt2103217,6000000,47.0
475,tt1433811,10000000,64.0
476,tt1716777,16000000,49.0
477,tt1714203,5000000,24.0
478,tt0431021,14000000,45.0
479,tt0938330,20000000,16.0
480,tt1764234,15000000,64.0
481,tt1366365,20000000,22.0
482,tt1764183,12000000,73.0
483,tt1491044,20000000,60.0
484,tt1234719,65000000,31.0
485,tt1748179,14000000,36.0
486,tt0383010,30000000,56.0
487,tt1535438,30000000,65.0
488,tt1258972,15000000,51.0
489,tt0763831,40000000,26.0
490,tt1829012,30000000,53.0
491,tt1836944,4000000,33.0
492,tt1859650,17000000,54.0
493,tt1945062,2500000,33.0
494,tt1582507,6900000,31.0
495,tt1712170,45000000,30.0
496,tt1598828,40000000,22.0
497,tt1441951,11000000,64.0
